well,cycle,fluorescence
well 1,0,-3.0
well 1,1,-3.0
well 1,2,-3.0
well 1,3,-3.0
well 1,4,-3.0
well 1,5,-3.0
well 1,6,-3.0
well 1,7,-3.0
well 1,8,-3.0
well 1,9,-3.0
well 1,10,-3.0
well 1,11,-3.0
well 1,12,-3.0
well 1,13,-3.0
well 1,14,-3.0
well 1,15,-1.7999999999999998
well 1,16,-1.0799999999999998
well 1,17,-0.6479999999999999
well 1,18,-0.3887999999999999
well 1,19,-0.23327999999999993
well 1,20,-0.13996799999999995
well 1,21,-0.08398079999999997
well 1,22,-0.05038847999999998
well 1,23,-0.030233087999999984
well 1,24,-0.018139852799999988
well 1,25,-0.010883911679999993
well 1,26,-0.006530347007999996
well 1,27,-0.0039182082047999976
well 1,28,-0.0023509249228799984
well 1,29,-0.001410554953727999
well 1,30,-0.0008463329722367994
well 1,31,-0.0005077997833420796
well 1,32,-0.0003046798700052478
well 1,33,-0.00018280792200314866
well 1,34,-0.0001096847532018892
well 1,35,-6.581085192113351e-05
well 1,36,-3.948651115268011e-05
well 1,37,-2.3691906691608062e-05
well 1,38,-1.4215144014964837e-05
well 1,39,-8.529086408978902e-06
well 1,40,-5.117451845387341e-06
well 1,41,-3.0704711072324042e-06
well 1,42,-1.8422826643394425e-06
well 1,43,-1.1053695986036654e-06
well 1,44,-6.632217591621993e-07
well 2,0,-3.0
well 2,1,-3.0
well 2,2,-3.0
well 2,3,-3.0
well 2,4,-3.0
well 2,5,-3.0
well 2,6,-3.0
well 2,7,-3.0
well 2,8,-3.0
well 2,9,-3.0
well 2,10,-3.0
well 2,11,-3.0
well 2,12,-1.7999999999999998
well 2,13,-1.0799999999999998
well 2,14,-0.6479999999999999
well 2,15,-0.3887999999999999
well 2,16,-0.23327999999999993
well 2,17,-0.13996799999999995
well 2,18,-0.08398079999999997
well 2,19,-0.05038847999999998
well 2,20,-0.030233087999999984
well 2,21,-0.018139852799999988
well 2,22,-0.010883911679999993
well 2,23,-0.006530347007999996
well 2,24,-0.0039182082047999976
well 2,25,-0.0023509249228799984
well 2,26,-0.001410554953727999
well 2,27,-0.0008463329722367994
well 2,28,-0.0005077997833420796
well 2,29,-0.0003046798700052478
well 2,30,-0.00018280792200314866
well 2,31,-0.0001096847532018892
well 2,32,-6.581085192113351e-05
well 2,33,-3.948651115268011e-05
well 2,34,-2.3691906691608062e-05
well 2,35,-1.4215144014964837e-05
well 2,36,-8.529086408978902e-06
well 2,37,-5.117451845387341e-06
well 2,38,-3.0704711072324042e-06
well 2,39,-1.8422826643394425e-06
well 2,40,-1.1053695986036654e-06
well 2,41,-6.632217591621993e-07
well 2,42,-3.9793305549731955e-07
well 2,43,-2.3875983329839174e-07
well 2,44,-1.4325589997903504e-07
well 3,0,-3.0
well 3,1,-3.0
well 3,2,-3.0
well 3,3,-3.0
well 3,4,-3.0
well 3,5,-3.0
well 3,6,-3.0
well 3,7,-3.0
well 3,8,-3.0
well 3,9,-3.0
well 3,10,-3.0
well 3,11,-3.0
well 3,12,-3.0
well 3,13,-3.0
well 3,14,-3.0
well 3,15,-3.0
well 3,16,-1.7999999999999998
well 3,17,-1.0799999999999998
well 3,18,-0.6479999999999999
well 3,19,-0.3887999999999999
well 3,20,-0.23327999999999993
well 3,21,-0.13996799999999995
well 3,22,-0.08398079999999997
well 3,23,-0.05038847999999998
well 3,24,-0.030233087999999984
well 3,25,-0.018139852799999988
well 3,26,-0.010883911679999993
well 3,27,-0.006530347007999996
well 3,28,-0.0039182082047999976
well 3,29,-0.0023509249228799984
well 3,30,-0.001410554953727999
well 3,31,-0.0008463329722367994
well 3,32,-0.0005077997833420796
well 3,33,-0.0003046798700052478
well 3,34,-0.00018280792200314866
well 3,35,-0.0001096847532018892
well 3,36,-6.581085192113351e-05
well 3,37,-3.948651115268011e-05
well 3,38,-2.3691906691608062e-05
well 3,39,-1.4215144014964837e-05
well 3,40,-8.529086408978902e-06
well 3,41,-5.117451845387341e-06
well 3,42,-3.0704711072324042e-06
well 3,43,-1.8422826643394425e-06
well 3,44,-1.1053695986036654e-06
well 4,0,-3.0
well 4,1,-3.0
well 4,2,-1.7999999999999998
well 4,3,-1.0799999999999998
well 4,4,-0.6479999999999999
well 4,5,-0.3887999999999999
well 4,6,-0.23327999999999993
well 4,7,-0.13996799999999995
well 4,8,-0.08398079999999997
well 4,9,-0.05038847999999998
well 4,10,-0.030233087999999984
well 4,11,-0.018139852799999988
well 4,12,-0.010883911679999993
well 4,13,-0.006530347007999996
well 4,14,-0.0039182082047999976
well 4,15,-0.0023509249228799984
well 4,16,-0.001410554953727999
well 4,17,-0.0008463329722367994
well 4,18,-0.0005077997833420796
well 4,19,-0.0003046798700052478
well 4,20,-0.00018280792200314866
well 4,21,-0.0001096847532018892
well 4,22,-6.581085192113351e-05
well 4,23,-3.948651115268011e-05
well 4,24,-2.3691906691608062e-05
well 4,25,-1.4215144014964837e-05
well 4,26,-8.529086408978902e-06
well 4,27,-5.117451845387341e-06
well 4,28,-3.0704711072324042e-06
well 4,29,-1.8422826643394425e-06
well 4,30,-1.1053695986036654e-06
well 4,31,-6.632217591621993e-07
well 4,32,-3.9793305549731955e-07
well 4,33,-2.3875983329839174e-07
well 4,34,-1.4325589997903504e-07
well 4,35,-8.595353998742102e-08
well 4,36,-5.157212399245261e-08
well 4,37,-3.0943274395471566e-08
well 4,38,-1.8565964637282937e-08
well 4,39,-1.1139578782369761e-08
well 4,40,-6.683747269421856e-09
well 4,41,-4.0102483616531134e-09
well 4,42,-2.4061490169918677e-09
well 4,43,-1.4436894101951206e-09
well 4,44,-8.662136461170723e-10
well 5,0,-3.0
well 5,1,-3.0
well 5,2,-3.0
well 5,3,-3.0
well 5,4,-3.0
well 5,5,-3.0
well 5,6,-3.0
well 5,7,-3.0
well 5,8,-3.0
well 5,9,-3.0
well 5,10,-3.0
well 5,11,-3.0
well 5,12,-3.0
well 5,13,-3.0
well 5,14,-1.7999999999999998
well 5,15,-1.0799999999999998
well 5,16,-0.6479999999999999
well 5,17,-0.3887999999999999
well 5,18,-0.23327999999999993
well 5,19,-0.13996799999999995
well 5,20,-0.08398079999999997
well 5,21,-0.05038847999999998
well 5,22,-0.030233087999999984
well 5,23,-0.018139852799999988
well 5,24,-0.010883911679999993
well 5,25,-0.006530347007999996
well 5,26,-0.0039182082047999976
well 5,27,-0.0023509249228799984
well 5,28,-0.001410554953727999
well 5,29,-0.0008463329722367994
well 5,30,-0.0005077997833420796
well 5,31,-0.0003046798700052478
well 5,32,-0.00018280792200314866
well 5,33,-0.0001096847532018892
well 5,34,-6.581085192113351e-05
well 5,35,-3.948651115268011e-05
well 5,36,-2.3691906691608062e-05
well 5,37,-1.4215144014964837e-05
well 5,38,-8.529086408978902e-06
well 5,39,-5.117451845387341e-06
well 5,40,-3.0704711072324042e-06
well 5,41,-1.8422826643394425e-06
well 5,42,-1.1053695986036654e-06
well 5,43,-6.632217591621993e-07
well 5,44,-3.9793305549731955e-07
well 6,0,-3.0
well 6,1,-3.0
well 6,2,-3.0
well 6,3,-3.0
well 6,4,-3.0
well 6,5,-3.0
well 6,6,-3.0
well 6,7,-3.0
well 6,8,-3.0
well 6,9,-3.0
well 6,10,-3.0
well 6,11,-3.0
well 6,12,-3.0
well 6,13,-3.0
well 6,14,-3.0
well 6,15,-3.0
well 6,16,-3.0
well 6,17,-3.0
well 6,18,-3.0
well 6,19,-3.0
well 6,20,-3.0
well 6,21,-3.0
well 6,22,-3.0
well 6,23,-3.0
well 6,24,-3.0
well 6,25,-3.0
well 6,26,-3.0
well 6,27,-3.0
well 6,28,-3.0
well 6,29,-3.0
well 6,30,-3.0
well 6,31,-3.0
well 6,32,-3.0
well 6,33,-3.0
well 6,34,-3.0
well 6,35,-3.0
well 6,36,-3.0
well 6,37,-3.0
well 6,38,-3.0
well 6,39,-3.0
well 6,40,-3.0
well 6,41,-3.0
well 6,42,-3.0
well 6,43,-3.0
well 6,44,-3.0
